id,isResult,side,h,a,goals,xG,datetime,forecast,result
22692,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '0'}","{'h': '0.804505', 'a': '1.67817'}",2023-08-13 19:30:00,"{'w': 0.17771008626709786, 'd': 0.24055591115564792, 'l': 0.581734002201403}",d
22701,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'h': '2', 'a': '0'}","{'h': '3.42524', 'a': '1.11132'}",2023-08-20 17:30:00,"{'w': 0.8064634219361558, 'd': 0.1112512609952975, 'l': 0.08228201224522418}",w
22710,True,a,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '3', 'a': '4'}","{'h': '1.87195', 'a': '2.95807'}",2023-08-27 15:30:00,"{'w': 0.2305566114335219, 'd': 0.16751840128318038, 'l': 0.6019244213972127}",w
22722,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '0.801843', 'a': '1.77255'}",2023-09-03 19:00:00,"{'w': 0.16575753768961973, 'd': 0.22963609763611353, 'l': 0.6046063638921274}",w
22726,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '5', 'a': '0'}","{'h': '2.54628', 'a': '0.852869'}",2023-09-16 19:00:00,"{'w': 0.7400688044976975, 'd': 0.1562302856642995, 'l': 0.10370082260916348}",w
22737,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '3', 'a': '2'}","{'h': '1.82246', 'a': '1.67938'}",2023-09-23 16:30:00,"{'w': 0.41822264518857544, 'd': 0.2221901447924093, 'l': 0.3595872085071322}",w
22749,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '2'}","{'h': '1.21366', 'a': '1.62815'}",2023-09-26 19:30:00,"{'w': 0.28493321678100164, 'd': 0.24466355426670933, 'l': 0.4704032286977051}",d
22757,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '0'}","{'h': '2.5598', 'a': '1.07557'}",2023-09-29 19:00:00,"{'w': 0.6941260274373995, 'd': 0.1672045166979396, 'l': 0.1386693626002151}",w
22771,True,a,"{'id': '155', 'title': 'Granada', 'short_title': 'GRA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '2', 'a': '2'}","{'h': '0.611577', 'a': '2.99552'}",2023-10-08 19:00:00,"{'w': 0.04804320631035319, 'd': 0.1048022544936056, 'l': 0.8471538809473546}",d
22777,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '1', 'a': '0'}","{'h': '1.70266', 'a': '0.453295'}",2023-10-22 19:00:00,"{'w': 0.6828181857999871, 'd': 0.22395847364622368, 'l': 0.09322334009725242}",w
22787,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '2'}","{'h': '1.32038', 'a': '0.959404'}",2023-10-28 14:15:00,"{'w': 0.44936285771462325, 'd': 0.27920744351029897, 'l': 0.27142969876053036}",l
22800,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '0.84705', 'a': '1.22041'}",2023-11-04 20:00:00,"{'w': 0.25658579897932926, 'd': 0.2952236633095437, 'l': 0.4481905377062523}",w
22814,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '2', 'a': '1'}","{'h': '1.81139', 'a': '1.83858'}",2023-11-12 15:15:00,"{'w': 0.3856990811981742, 'd': 0.21766096394552695, 'l': 0.39663995253905093}",w
22822,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '1'}","{'h': '0.912299', 'a': '1.30627'}",2023-11-25 13:00:00,"{'w': 0.26064322262111056, 'd': 0.2825093334774502, 'l': 0.45684744388895543}",d
22830,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'h': '1', 'a': '0'}","{'h': '3.18789', 'a': '0.996297'}",2023-12-03 20:00:00,"{'w': 0.7991503763715277, 'd': 0.11866453967866276, 'l': 0.08218368250264321}",w
