id,isResult,side,h,a,goals,xG,datetime,forecast,result
18965,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'h': '0', 'a': '0'}","{'h': '1.37129', 'a': '0.77153'}",2022-08-13 19:00:00,"{'w': 0.5108607314733945, 'd': 0.27840800899938173, 'l': 0.21073125950302826}",d
18979,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '4'}","{'h': '0.79913', 'a': '2.04035'}",2022-08-21 20:00:00,"{'w': 0.13675544817634755, 'd': 0.2004259487234447, 'l': 0.662818598068947}",w
18988,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '4', 'a': '0'}","{'h': '3.28674', 'a': '0.720063'}",2022-08-28 17:30:00,"{'w': 0.8573350862777992, 'd': 0.09450691177920699, 'l': 0.04815597973355955}",w
18995,True,a,"{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '3'}","{'h': '0.829157', 'a': '4.67838'}",2022-09-03 19:00:00,"{'w': 0.021241191943677382, 'd': 0.04349595006977202, 'l': 0.9351508075408789}",w
19010,True,a,"{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '4'}","{'h': '0.24818', 'a': '2.66856'}",2022-09-10 16:30:00,"{'w': 0.020633326097588164, 'd': 0.09633438826441877, 'l': 0.8830321282466626}",w
19013,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '3', 'a': '0'}","{'h': '5.17903', 'a': '0.0129931'}",2022-09-17 14:15:00,"{'w': 0.9936579403442977, 'd': 0.005941279509047282, 'l': 7.519177078040858e-05}",w
19027,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '0.925106', 'a': '0.636371'}",2022-10-01 19:00:00,"{'w': 0.40663308467411213, 'd': 0.35276708724036987, 'l': 0.24059982808541744}",w
19033,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'h': '1', 'a': '0'}","{'h': '1.98459', 'a': '1.35022'}",2022-10-09 19:00:00,"{'w': 0.5222732464052702, 'd': 0.21761342962603422, 'l': 0.260113320452231}",w
19046,True,a,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '3', 'a': '1'}","{'h': '1.46965', 'a': '1.66548'}",2022-10-16 14:15:00,"{'w': 0.33993443555904157, 'd': 0.2358093767240793, 'l': 0.4242561873151222}",l
19053,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '3', 'a': '0'}","{'h': '3.61604', 'a': '0.503294'}",2022-10-20 19:00:00,"{'w': 0.9151485107552239, 'd': 0.062354088524034325, 'l': 0.02249115181800752}",w
19065,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'h': '4', 'a': '0'}","{'h': '2.13539', 'a': '0.240803'}",2022-10-23 19:00:00,"{'w': 0.8207366365846919, 'd': 0.1471789338261221, 'l': 0.0320844204712169}",w
19077,True,a,"{'id': '146', 'title': 'Valencia', 'short_title': 'VAL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '0.187414', 'a': '2.33418'}",2022-10-29 19:00:00,"{'w': 0.02032826050992757, 'd': 0.11950834782183634, 'l': 0.860163362856969}",w
19091,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '2', 'a': '0'}","{'h': '4.33587', 'a': '0.538049'}",2022-11-05 20:00:00,"{'w': 0.9471135249117186, 'd': 0.03900224396324441, 'l': 0.013835180252540703}",w
19097,True,a,"{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '1', 'a': '2'}","{'h': '1.23564', 'a': '1.01467'}",2022-11-08 20:30:00,"{'w': 0.412404561488076, 'd': 0.2851227208847403, 'l': 0.30247271762106154}",w
19103,True,h,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '1', 'a': '1'}","{'h': '2.74555', 'a': '0.846842'}",2022-12-31 13:00:00,"{'w': 0.7708259701874164, 'd': 0.13990352769970463, 'l': 0.0892702775808504}",d
19113,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '1'}","{'h': '1.93573', 'a': '1.23617'}",2023-01-08 20:00:00,"{'w': 0.5368903336581226, 'd': 0.22084322743818002, 'l': 0.2422664363800614}",w
