id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,16,1279,8,11.552874393761158,4,2.7095497772097588,56,16,3,0,F S,Barcelona,6,10.066319204866886,16.715312037616968,5.546186218038201
2104,Sergi Roberto,5,270,3,1.630568265914917,0,0.1824219524860382,6,3,0,0,D M S,Barcelona,3,1.630568265914917,2.8970005214214325,1.8270106203854084
6441,Ferrán Torres,17,716,3,3.614039422944188,1,1.6534519866108894,24,18,2,0,F M S,Barcelona,3,3.614039422944188,6.5974428951740265,2.6089358255267143
7892,João Félix,15,1012,3,4.627008445560932,2,1.9587721154093742,35,13,3,0,F M S,Barcelona,3,4.627008445560932,10.831381008028984,4.9933616649359465
8026,Raphinha,14,594,3,4.942149484530091,5,3.8843921702355146,31,23,2,1,F M S,Barcelona,3,4.942149484530091,10.20713246613741,5.822927411645651
314,Ilkay Gündogan,18,1489,2,3.283036943525076,3,4.802547704428434,21,45,2,0,M S,Barcelona,2,3.283036943525076,17.973080664873123,12.790926665067673
2379,João Cancelo,15,1257,2,1.3603352438658476,1,3.637188047170639,12,21,4,0,D M S,Barcelona,2,1.3603352438658476,13.57117485255003,10.4548319876194
6433,Jules Koundé,15,1150,1,0.9279532711952925,1,1.2127522081136703,10,12,0,0,D S,Barcelona,1,0.9279532711952925,12.267177134752274,11.558979123830795
7781,Frenkie de Jong,10,845,1,0.6003403384238482,0,1.1981636229902506,5,10,5,0,D M,Barcelona,1,0.6003403384238482,11.51202929764986,10.16089702397585
8091,Ronald Araújo,12,927,1,0.8215466933324933,0,0.871215682476759,11,4,3,0,D S,Barcelona,1,0.8215466933324933,7.803563877940178,7.231771275401115
8935,Pedri,8,634,1,1.6791567392647266,0,3.2542003467679024,9,20,2,0,M S,Barcelona,1,1.6791567392647266,7.888535916805267,4.59767971560359
9804,Gavi,12,939,1,1.0798097513616085,1,1.3673980422317982,10,11,5,0,F M S,Barcelona,1,1.0798097513616085,7.008280975744128,5.830359412357211
11527,Lamine Yamal,18,762,1,2.5020808847621083,1,2.7584844939410686,21,13,1,0,D F M S,Barcelona,1,2.5020808847621083,9.720503889024258,5.574442816898227
11633,Marc Guiu,1,10,1,0.31662631034851074,0,0,1,0,1,0,S,Barcelona,1,0.31662631034851074,0.31662631034851074,0
11822,Fermín López,12,507,1,2.8284366242587566,0,0.5785902049392462,17,4,1,0,F M S,Barcelona,1,2.8284366242587566,4.256277170032263,1.1298779882490635
200,Andreas Christensen,14,1053,0,0.17576942220330238,1,0.4367326982319355,2,2,2,0,D,Barcelona,0,0.17576942220330238,6.901558194309473,6.862999115139246
842,Oriol Romeu,14,685,0,0.3968887887895107,1,1.0925833769142628,9,7,3,0,M S,Barcelona,0,0.3968887887895107,6.11229258030653,5.122435450553894
1621,Marcos Alonso,4,160,0,0.06457315385341644,0,0.6082905363291502,3,4,0,0,D S,Barcelona,0,0.06457315385341644,1.6659099906682968,1.081517145037651
2090,Marc-André ter Stegen,13,1170,0,0,0,0,0,0,1,0,GK,Barcelona,0,0,5.349129511043429,5.349129511043429
2484,Iñigo Martínez,8,547,0,0.23479688167572021,0,0,4,0,2,0,D S,Barcelona,0,0.23479688167572021,3.5658814683556557,3.5658814683556557
7287,Iñaki Peña,5,450,0,0,0,0,0,0,0,0,GK,Barcelona,0,0,1.9603682607412338,1.9603682607412338
7967,Anssumane Fati,3,26,0,0.851670041680336,0,0,7,0,0,0,S,Barcelona,0,0.851670041680336,1.3263437449932098,0.474673705175519
8045,Eric Garcia,2,44,0,0.07676322758197784,0,0,1,0,1,0,S,Barcelona,0,0.07676322758197784,0.9130409061908722,0.9130409061908722
9805,Álex Balde,16,1199,0,0.11729728803038597,1,1.0718237906694412,4,11,1,0,D M S,Barcelona,0,0.11729728803038597,9.091535072773695,8.026676904410124
10095,Abdessamad Ezzalzouli,2,51,0,0.4675174970179796,0,0.10185271501541138,4,2,0,0,S,Barcelona,0,0.4675174970179796,1.080270379781723,0.5527681559324265
